system,load,request_id,planned_offset_s,actual_send_s,ttft_s,e2el_s,completed_s,input_length,success,error,prompt_tokens_match
afd_mbt65536,1x,formal-1-000194,66.0,66.002254,1.548525,1.548563,67.550817,3764,True,,True
afd_mbt65536,1x,formal-1-000195,66.0,66.001226,2.358691,2.358735,68.359961,10246,True,,True
afd_mbt65536,1x,formal-1-000196,66.0,66.001029,0.944777,0.944818,66.945848,5510,True,,True
afd_mbt65536,1x,formal-1-000197,66.0,66.001567,1.233318,1.233364,67.234931,8719,True,,True
afd_mbt65536,1x,formal-1-000198,66.0,66.001424,2.540344,2.540386,68.541811,7068,True,,True
afd_mbt65536,1x,formal-1-000199,66.0,66.000545,1.671813,1.671857,67.672402,13622,True,,True
afd_mbt65536,1x,formal-1-000200,66.0,66.001807,2.69984,2.699889,68.701696,17906,True,,True
afd_mbt65536,1x,formal-1-000201,66.0,66.002125,0.862023,0.862072,66.864198,2615,True,,True
afd_mbt65536,1x,formal-1-000202,66.0,66.000819,0.948735,0.948773,66.949592,5119,True,,True
afd_mbt65536,1x,formal-1-000203,66.0,66.00198,4.475475,4.475515,70.477495,36864,True,,True
afd_mbt65536,1x,formal-1-000204,69.001,69.004031,8.348632,8.348678,77.352709,15463,True,,True
afd_mbt65536,1x,formal-1-000205,69.001,69.004346,4.009956,4.010006,73.014352,4461,True,,True
afd_mbt65536,1x,formal-1-000206,69.001,69.003087,2.996663,2.996687,71.999774,14624,True,,True
afd_mbt65536,1x,formal-1-000207,69.001,69.002356,2.212604,2.212654,71.21501,20246,True,,True
afd_mbt65536,1x,formal-1-000208,69.001,69.002893,3.339494,3.339546,72.342439,16383,True,,True
afd_mbt65536,1x,formal-1-000209,69.001,69.002485,0.957168,0.957221,69.959706,4778,True,,True
afd_mbt65536,1x,formal-1-000210,69.001,69.004182,2.365038,2.365098,71.36928,4587,True,,True
afd_mbt65536,1x,formal-1-000211,69.001,69.001717,3.10566,3.10571,72.107427,29696,True,,True
afd_mbt65536,1x,formal-1-000212,69.001,69.003875,4.900087,4.900137,73.904012,27054,True,,True
afd_mbt65536,1x,formal-1-000213,69.001,69.003724,4.010743,4.010771,73.014495,11367,True,,True
